,0
437,30.543978
438,30.555773
439,30.556765
440,30.54918
441,30.54897
442,30.549809
443,30.54726
444,30.548117
445,30.54578
446,30.551031
447,30.555498
448,30.547903
449,30.558182
450,30.557095
451,30.54897
452,30.557592
453,30.550425
454,30.551813
455,30.550629
456,30.558397
457,30.558464
458,30.558966
459,30.557943
460,30.54833
461,30.55162
462,30.545572
463,30.556765
464,30.547474
465,30.550629
466,30.54496
467,30.54496
468,30.558765
469,30.558254
470,30.555065
471,30.552195
472,30.544561
473,30.547047
474,30.552933
475,30.552195
476,30.5538
477,30.558464
478,30.557772
479,30.555357
480,30.553286
481,30.550829
482,30.547474
483,30.544363
484,30.542562
485,30.548542
486,30.544363
487,30.553286
488,30.552006
489,30.55311
490,30.549599
491,30.542562
492,30.542246
493,30.556988
494,30.5572
495,30.553633
496,30.555906
497,30.556765
498,30.55887
499,30.55871
500,30.547047
501,30.556038
502,30.553633
503,30.551813
504,30.545572
505,30.543243
506,30.556765
507,30.555906
508,30.55311
509,30.54599
510,30.5462
511,30.54769
512,30.555498
513,30.554916
514,30.558966
515,30.54599
516,30.557772
517,30.543243
518,30.559011
519,30.549599
520,30.5538
521,30.54769
522,30.555906
523,30.558182
524,30.557497
525,30.545366
526,30.557943
527,30.5538
528,30.557772
529,30.557592
530,30.553968
531,30.542246
532,30.54833
533,30.554611
534,30.558592
535,30.553968
536,30.5538
537,30.547474
538,30.558182
539,30.557684
540,30.547903
541,30.54726
542,30.547047
543,30.55162
544,30.553633
545,30.55022
546,30.552382
547,30.555906
548,30.558819
549,30.555065
550,30.558397
551,30.54726
552,30.542894
553,30.544561
554,30.545572
555,30.556652
556,30.548542
557,30.548117
558,30.54599
559,30.542562
560,30.553968
561,30.557858
562,30.545366
563,30.55123
564,30.556166
565,30.54342
566,30.543604
567,30.551031
568,30.557858
569,30.557772
570,30.550829
571,30.54769
572,30.553286
573,30.549599
574,30.554293
575,30.555773
576,30.542404
577,30.545162
578,30.557592
579,30.555212
580,30.558819
581,30.543789
582,30.548542
583,30.5572
584,30.552006
585,30.556988
586,30.551426
587,30.545572
588,30.555357
589,30.542562
590,30.54726
591,30.551813
592,30.555635
593,30.558397
594,30.558464
595,30.546412
596,30.555906
597,30.552006
598,30.556879
599,30.557858
600,30.555498
601,30.554293
602,30.54496
603,30.5462
604,30.553633
605,30.5572
606,30.542097
607,30.54897
608,30.556652
609,30.55123
610,30.557858
611,30.558592
612,30.550425
613,30.557772
614,30.557302
615,30.556652
616,30.556292
617,30.547903
618,30.547047
619,30.557302
620,30.551426
621,30.548542
622,30.552195
623,30.556038
624,30.54599
625,30.558104
626,30.555773
627,30.558329
628,30.554766
629,30.550425
630,30.556652
631,30.54769
632,30.557772
633,30.556879
634,30.558397
635,30.549809
636,30.542894
637,30.55123
638,30.54833
639,30.543978
640,30.550629
641,30.551813
642,30.54496
643,30.542404
644,30.552933
645,30.543243
646,30.556879
647,30.556038
648,30.556166
649,30.54578
650,30.550829
651,30.55871
652,30.554293
653,30.544758
654,30.550016
655,30.55887
656,30.544758
657,30.552006
658,30.558765
659,30.557302
660,30.55123
661,30.548117
662,30.555212
663,30.55123
664,30.558529
665,30.556292
666,30.546623
667,30.558651
668,30.554766
669,30.558329
670,30.550425
671,30.554611
672,30.556534
673,30.55123
674,30.545366
675,30.557497
676,30.549809
677,30.550016
678,30.54897
679,30.558329
680,30.552752
681,30.554766
682,30.545162
683,30.551031
684,30.558182
685,30.542562
686,30.55162
687,30.555357
688,30.54578
689,30.553461
690,30.5462
691,30.558397
692,30.558104
693,30.556765
694,30.549809
695,30.554453
696,30.557592
697,30.542727
698,30.558254
699,30.546623
700,30.559011
701,30.557095
702,30.547047
703,30.542562
704,30.556412
705,30.54769
706,30.557302
707,30.557592
708,30.556879
709,30.552567
710,30.558104
711,30.542727
712,30.557943
713,30.55887
714,30.552006
715,30.556292
716,30.555635
717,30.557858
718,30.542562
719,30.556534
720,30.552382
721,30.543243
722,30.558254
723,30.555065
724,30.552195
725,30.544363
726,30.54918
727,30.556765
728,30.54342
729,30.555212
730,30.558464
731,30.55892
732,30.55022
733,30.546835
734,30.552933
735,30.543243
736,30.558254
737,30.55887
738,30.555065
739,30.552933
740,30.5538
741,30.54496
742,30.554132
743,30.5462
744,30.551031
745,30.54578
746,30.555212
747,30.552567
748,30.54897
749,30.557858
750,30.558819
751,30.558329
752,30.545162
753,30.558254
754,30.557772
755,30.557772
756,30.542404
757,30.555065
758,30.556879
759,30.550629
760,30.550629
761,30.557772
762,30.54578
763,30.553461
764,30.555357
765,30.550629
766,30.555773
767,30.558397
768,30.550016
769,30.556292
770,30.544561
771,30.558397
772,30.559011
773,30.543066
774,30.5462
775,30.5462
776,30.556534
777,30.54769
778,30.542562
779,30.556879
780,30.557858
781,30.544758
782,30.54769
783,30.543789
784,30.558397
785,30.54578
786,30.558182
787,30.557592
788,30.542246
789,30.550425
790,30.557302
791,30.557943
792,30.558966
793,30.54599
794,30.557402
795,30.556652
796,30.55892
797,30.556879
798,30.549809
799,30.556166
800,30.556534
801,30.558329
802,30.54342
803,30.555212
804,30.557858
805,30.558592
806,30.54833
807,30.555212
808,30.558651
809,30.55892
810,30.546412
811,30.5462
812,30.550629
813,30.542404
814,30.558529
815,30.554916
816,30.556412
817,30.552567
818,30.556988
819,30.553633
820,30.542246
821,30.54599
822,30.556879
823,30.553286
824,30.556412
825,30.557772
826,30.555498
827,30.548758
828,30.544168
829,30.552752
830,30.552567
831,30.543243
832,30.555635
833,30.542562
834,30.542404
835,30.548758
836,30.555498
837,30.556038
838,30.550629
839,30.556038
840,30.55123
841,30.556292
842,30.552382
843,30.558592
844,30.556879
845,30.5462
846,30.544168
847,30.557302
848,30.553461
849,30.553461
850,30.542246
851,30.542404
852,30.547047
853,30.558651
854,30.55022
855,30.54496
856,30.558592
857,30.555065
858,30.54897
859,30.55887
860,30.558966
861,30.554766
862,30.549809
863,30.553461
864,30.554293
865,30.548117
866,30.558254
867,30.543978
868,30.547474
869,30.5462
870,30.544168
871,30.54769
872,30.542404
873,30.548117
874,30.543789
875,30.545162
876,30.555357
877,30.557772
878,30.552006
879,30.558651
880,30.556534
881,30.554611
882,30.556412
883,30.557402
884,30.54918
885,30.544168
886,30.555212
887,30.547474
